,Condition_1,Condition_1_prime_1,Condition_1_prime_2,Condition_1_prime_3,Condition_1_prime_4,Condition_1_prime_5,Condition_1_prime_6,Condition_1_prime_7,Condition_1_prime_8,Condition_1_prime_9,Condition_1_prime_10,Condition_2,Condition_2_prime_1,Condition_2_prime_2,Condition_2_prime_3,Condition_2_prime_4,Condition_2_prime_5,Condition_2_prime_6,Condition_2_prime_7,Condition_2_prime_8,Condition_2_prime_9,Condition_2_prime_10,Condition_3,Condition_3_prime_1,Condition_3_prime_2,Condition_3_prime_3,Condition_3_prime_4,Condition_3_prime_5,Condition_3_prime_6,Condition_3_prime_7,Condition_3_prime_8,Condition_3_prime_9,Condition_3_prime_10,Condition_4,Condition_4_prime_1,Condition_4_prime_2,Condition_4_prime_3,Condition_4_prime_4,Condition_4_prime_5,Condition_4_prime_6,Condition_4_prime_7,Condition_4_prime_8,Condition_4_prime_9,Condition_4_prime_10,Condition_5,Condition_5_prime_1,Condition_5_prime_2,Condition_5_prime_3,Condition_5_prime_4,Condition_5_prime_5,Condition_5_prime_6,Condition_5_prime_7,Condition_5_prime_8,Condition_5_prime_9,Condition_5_prime_10,Condition_6,Condition_6_prime_1,Condition_6_prime_2,Condition_6_prime_3,Condition_6_prime_4,Condition_6_prime_5,Condition_6_prime_6,Condition_6_prime_7,Condition_6_prime_8,Condition_6_prime_9,Condition_6_prime_10,Condition_7,Condition_7_prime_1,Condition_7_prime_2,Condition_7_prime_3,Condition_7_prime_4,Condition_7_prime_5,Condition_7_prime_6,Condition_7_prime_7,Condition_7_prime_8,Condition_7_prime_9,Condition_7_prime_10,Condition_8,Condition_8_prime_1,Condition_8_prime_2,Condition_8_prime_3,Condition_8_prime_4,Condition_8_prime_5,Condition_8_prime_6,Condition_8_prime_7,Condition_8_prime_8,Condition_8_prime_9,Condition_8_prime_10,Condition_9,Condition_9_prime_1,Condition_9_prime_2,Condition_9_prime_3,Condition_9_prime_4,Condition_9_prime_5,Condition_9_prime_6,Condition_9_prime_7,Condition_9_prime_8,Condition_9_prime_9,Condition_9_prime_10,Condition_10,Condition_10_prime_1,Condition_10_prime_2,Condition_10_prime_3,Condition_10_prime_4,Condition_10_prime_5,Condition_10_prime_6,Condition_10_prime_7,Condition_10_prime_8,Condition_10_prime_9,Condition_10_prime_10
Condition_8_prime_4,0.7103,0.4519,0.6733,0.6328,0.6733,0.7103,0.6323,0.5651,0.6659,0.7103,0.7103,0.7097,0.6239,0.5885,0.5232,0.6919,0.7097,0.7097,0.6336,0.7095,0.6089,0.7097,0.2183,0.2183,0.2183,0.1741,0.2183,0.2183,0.2183,0.2183,0.2183,0.1584,0.2183,0.2758,0.2758,0.2758,0.2316,0.2758,0.2699,0.2758,0.2758,0.2758,0.2699,0.2758,0.7555,0.6457,0.5906,0.6993,0.745,0.7037,0.7555,0.7161,0.6119,0.7013,0.7589,0.7846,0.7113,0.6634,0.5981,0.7846,0.7654,0.7846,0.6796,0.6236,0.7602,0.7166,0.6201,0.5522,0.6054,0.4336,0.6201,0.6009,0.6201,0.5439,0.5759,0.6201,0.6201,0.8499,0.7397,0.806,0.7111,0.9742,0.7903,0.6723,0.728,0.806,0.8261,0.7614,0.3357,0.1917,0.2154,0.291,0.3357,0.2784,0.3299,0.3357,0.3357,0.2619,0.2678,0.3055,0.2375,0.1852,0.3055,0.2684,0.3055,0.3055,0.3055,0.2613,0.2356,0.2375
Condition_8_prime_5,0.6854,0.4147,0.6551,0.6084,0.6321,0.6854,0.608,0.5398,0.6484,0.6854,0.6854,0.6619,0.5761,0.5473,0.4849,0.644,0.6619,0.6619,0.5857,0.6618,0.5611,0.6619,0.1947,0.1947,0.1947,0.1577,0.1947,0.1947,0.1947,0.1947,0.1947,0.1428,0.1947,0.2406,0.2406,0.2406,0.2036,0.2406,0.2365,0.2406,0.2406,0.2406,0.2365,0.2406,0.8141,0.6907,0.6386,0.7567,0.7722,0.7699,0.8141,0.7722,0.6502,0.7554,0.8174,0.8261,0.7268,0.7116,0.6262,0.7948,0.8114,0.8261,0.7278,0.6692,0.807,0.7582,0.6088,0.5179,0.5977,0.4089,0.5859,0.5941,0.6088,0.5327,0.5719,0.6088,0.6088,0.8818,0.758,0.8448,0.753,0.7903,0.9742,0.6898,0.7664,0.7849,0.8626,0.7979,0.3009,0.1568,0.1878,0.2652,0.3009,0.255,0.2968,0.3009,0.3009,0.2288,0.2329,0.2765,0.2086,0.1634,0.2765,0.2462,0.2765,0.2765,0.2765,0.2396,0.2073,0.2086
Condition_8_prime_6,0.6855,0.5849,0.6336,0.5587,0.5834,0.6298,0.5889,0.509,0.6253,0.6855,0.6855,0.6183,0.5772,0.5213,0.5594,0.5448,0.5532,0.6183,0.5732,0.6179,0.5732,0.6183,0.2878,0.2878,0.2878,0.228,0.2878,0.2878,0.2878,0.2878,0.2878,0.2117,0.2878,0.373,0.373,0.373,0.3132,0.373,0.3619,0.373,0.373,0.373,0.3619,0.373,0.7149,0.7152,0.5919,0.5904,0.6267,0.6306,0.7149,0.682,0.7149,0.7744,0.7182,0.7663,0.6997,0.7004,0.7036,0.6683,0.682,0.7663,0.7845,0.6555,0.7604,0.8365,0.5651,0.5392,0.5408,0.486,0.5392,0.5183,0.5651,0.4726,0.5053,0.5651,0.5651,0.7738,0.7738,0.7734,0.6185,0.6723,0.6898,0.9742,0.7553,0.7721,0.7735,0.8436,0.3649,0.2725,0.2126,0.2978,0.3649,0.2799,0.3538,0.3649,0.3649,0.3538,0.3649,0.3208,0.3208,0.1686,0.3208,0.2687,0.3208,0.3208,0.3208,0.261,0.3167,0.3208
Condition_8_prime_7,0.7105,0.4042,0.7105,0.6107,0.6712,0.687,0.6152,0.5989,0.6584,0.7105,0.7105,0.6629,0.5468,0.6864,0.4858,0.5872,0.6051,0.6629,0.594,0.6627,0.5856,0.6629,0.2704,0.2704,0.2704,0.2185,0.2704,0.2704,0.2704,0.2704,0.2704,0.2024,0.2704,0.3008,0.3008,0.3008,0.249,0.3008,0.2897,0.3008,0.3008,0.3008,0.2897,0.3008,0.7781,0.6546,0.7754,0.6609,0.6835,0.6938,0.778,0.7373,0.652,0.7375,0.7816,0.827,0.6799,0.8875,0.6281,0.7228,0.75,0.827,0.795,0.6979,0.8189,0.7951,0.5975,0.4822,0.5731,0.3812,0.5583,0.5509,0.5975,0.505,0.5456,0.5975,0.5975,0.8436,0.7198,0.8355,0.8179,0.728,0.7664,0.7553,0.9742,0.8197,0.8429,0.8247,0.3769,0.2003,0.2327,0.363,0.3769,0.3466,0.3677,0.3769,0.3769,0.2816,0.2927,0.3328,0.2486,0.1885,0.3328,0.3327,0.3328,0.3328,0.3328,0.2809,0.2457,0.2486
Condition_8_prime_8,0.7938,0.5015,0.742,0.6919,0.719,0.7789,0.7054,0.6175,0.7938,0.7938,0.7938,0.7545,0.6279,0.6251,0.5695,0.6711,0.689,0.7545,0.6852,0.7545,0.6686,0.7545,0.2117,0.2117,0.2117,0.2117,0.2117,0.2117,0.2117,0.2117,0.2117,0.1438,0.2117,0.297,0.297,0.297,0.297,0.297,0.2859,0.297,0.297,0.297,0.2859,0.297,0.795,0.6716,0.64,0.7223,0.7009,0.7107,0.795,0.814,0.6606,0.7545,0.7983,0.8475,0.6912,0.7493,0.6316,0.7437,0.7709,0.8475,0.7653,0.7558,0.8417,0.8174,0.6804,0.5813,0.656,0.4724,0.6574,0.65,0.6804,0.5958,0.6804,0.6804,0.6804,0.8619,0.7382,0.9061,0.714,0.806,0.7849,0.7721,0.8197,0.9742,0.8618,0.84,0.3649,0.2046,0.2807,0.2979,0.3649,0.2799,0.3538,0.3649,0.3649,0.2777,0.2888,0.321,0.2449,0.2367,0.321,0.2688,0.321,0.321,0.321,0.321,0.2407,0.2449
Condition_8_prime_9,0.7737,0.4837,0.7367,0.6874,0.7138,0.7737,0.6866,0.6162,0.7293,0.7737,0.7737,0.7497,0.6394,0.6203,0.5644,0.7074,0.7252,0.7497,0.6654,0.7495,0.6488,0.7497,0.2296,0.2296,0.2296,0.1854,0.2296,0.2296,0.2296,0.2296,0.2296,0.1698,0.2296,0.293,0.293,0.293,0.2488,0.293,0.2848,0.293,0.293,0.293,0.2848,0.293,0.855,0.7316,0.6875,0.7578,0.7805,0.7706,0.855,0.8453,0.6991,0.793,0.8583,0.9057,0.7563,0.7763,0.6905,0.8215,0.8488,0.9057,0.7925,0.7607,0.9057,0.8296,0.6828,0.5837,0.6636,0.4746,0.6598,0.6584,0.6828,0.5984,0.6386,0.6828,0.6828,0.9498,0.8261,0.9298,0.7948,0.8261,0.8626,0.7735,0.8429,0.8618,0.9742,0.8709,0.3611,0.2007,0.2327,0.3131,0.3611,0.2979,0.3529,0.3611,0.3611,0.2768,0.285,0.3309,0.2547,0.2024,0.3309,0.2938,0.3309,0.3309,0.3309,0.2867,0.2519,0.2547
Condition_8_prime_10,0.7207,0.5045,0.6765,0.6322,0.6535,0.7207,0.6364,0.5508,0.6686,0.7207,0.7235,0.6995,0.6549,0.5629,0.5142,0.6225,0.6403,0.6995,0.6152,0.6993,0.5987,0.6995,0.2522,0.2522,0.2522,0.2003,0.2522,0.2522,0.2522,0.2522,0.2522,0.1842,0.2522,0.3006,0.3006,0.3006,0.2487,0.3006,0.2895,0.3006,0.3006,0.3006,0.2895,0.3006,0.8237,0.7001,0.6465,0.703,0.7255,0.7394,0.8237,0.7658,0.7419,0.8419,0.8268,0.8673,0.791,0.7573,0.658,0.7597,0.8074,0.8673,0.8496,0.7109,0.8554,0.8939,0.615,0.592,0.5906,0.4068,0.592,0.615,0.615,0.5306,0.5631,0.615,0.615,0.877,0.7533,0.8707,0.7239,0.7614,0.7979,0.8436,0.8247,0.84,0.8709,0.9742,0.2925,0.2082,0.1564,0.2372,0.2925,0.2442,0.2814,0.2925,0.2925,0.2814,0.2925,0.2556,0.2556,0.1195,0.2556,0.2113,0.2556,0.2556,0.2556,0.2037,0.2556,0.2556
Condition_9,0.4884,0.4157,0.4659,0.3392,0.4042,0.4224,0.4431,0.4749,0.4661,0.4884,0.4881,0.4077,0.3061,0.4415,0.3315,0.3495,0.3559,0.4072,0.3765,0.4083,0.4697,0.4146,0.4325,0.4057,0.4325,0.317,0.4138,0.4138,0.4232,0.4229,0.4325,0.4082,0.404,0.7616,0.6089,0.7384,0.5454,0.7481,0.667,0.7194,0.6918,0.7437,0.6999,0.7385,0.3704,0.3707,0.3346,0.2753,0.3209,0.2942,0.3704,0.3478,0.378,0.331,0.3713,0.391,0.2946,0.418,0.3181,0.336,0.3208,0.3906,0.3247,0.4351,0.4023,0.3561,0.5159,0.3838,0.5359,0.4188,0.4504,0.4253,0.5148,0.4693,0.4862,0.5175,0.4979,0.352,0.3519,0.3308,0.3001,0.3357,0.3009,0.3649,0.3769,0.3649,0.3611,0.2925,0.9742,0.7247,0.7469,0.667,0.8484,0.737,0.8885,0.8769,0.955,0.7884,0.8159,0.7788,0.6426,0.6184,0.6349,0.6454,0.7178,0.7659,0.7561,0.7012,0.6469,0.6475
Condition_9_prime_1,0.3118,0.5765,0.2893,0.2549,0.2438,0.2621,0.3507,0.2817,0.2895,0.3118,0.3115,0.2473,0.3402,0.2649,0.2473,0.2054,0.2118,0.2468,0.2922,0.248,0.293,0.2542,0.324,0.309,0.324,0.2136,0.3104,0.3104,0.316,0.3144,0.324,0.2996,0.2968,0.6561,0.6283,0.6465,0.4352,0.6233,0.5568,0.628,0.6009,0.6517,0.595,0.6465,0.21,0.3341,0.2422,0.1312,0.1768,0.1502,0.21,0.1874,0.2856,0.2467,0.2109,0.2307,0.3422,0.2414,0.2338,0.1919,0.1768,0.2302,0.2405,0.2584,0.242,0.2719,0.3393,0.4233,0.3593,0.3264,0.29,0.265,0.3382,0.3769,0.3096,0.3409,0.3212,0.1916,0.3154,0.1704,0.1397,0.1917,0.1568,0.2725,0.2003,0.2046,0.2007,0.2082,0.7247,0.9742,0.658,0.456,0.6226,0.5112,0.6537,0.6429,0.7144,0.6959,0.7344,0.553,0.5413,0.5339,0.4239,0.4426,0.5068,0.54,0.5303,0.4835,0.5573,0.5578
Condition_9_prime_2,0.3362,0.3396,0.3137,0.2873,0.268,0.2863,0.3751,0.3061,0.3737,0.3362,0.3359,0.2716,0.1781,0.2893,0.2796,0.2292,0.2356,0.2711,0.3167,0.2722,0.3174,0.2784,0.2691,0.2113,0.269,0.2351,0.2558,0.2535,0.2558,0.2595,0.2751,0.2448,0.2885,0.5975,0.4034,0.5623,0.431,0.5351,0.4857,0.5475,0.5041,0.5817,0.5549,0.5626,0.2342,0.2346,0.2666,0.1992,0.2006,0.1663,0.2343,0.2636,0.2176,0.1869,0.2352,0.2549,0.1666,0.2658,0.2662,0.2157,0.2005,0.2545,0.1807,0.3427,0.2662,0.212,0.3556,0.2316,0.3756,0.3509,0.3063,0.2812,0.3545,0.3931,0.3938,0.3571,0.3457,0.2235,0.2235,0.2465,0.1789,0.2154,0.1878,0.2126,0.2327,0.2807,0.2327,0.1564,0.7469,0.658,0.9742,0.4725,0.6441,0.5928,0.6821,0.6566,0.7307,0.6879,0.6515,0.5938,0.4478,0.7222,0.4484,0.4816,0.523,0.5815,0.556,0.6486,0.4953,0.5257
