,Condition_1,Condition_1_prime_1,Condition_1_prime_2,Condition_1_prime_3,Condition_1_prime_4,Condition_1_prime_5,Condition_1_prime_6,Condition_1_prime_7,Condition_1_prime_8,Condition_1_prime_9,Condition_1_prime_10,Condition_2,Condition_2_prime_1,Condition_2_prime_2,Condition_2_prime_3,Condition_2_prime_4,Condition_2_prime_5,Condition_2_prime_6,Condition_2_prime_7,Condition_2_prime_8,Condition_2_prime_9,Condition_2_prime_10,Condition_3,Condition_3_prime_1,Condition_3_prime_2,Condition_3_prime_3,Condition_3_prime_4,Condition_3_prime_5,Condition_3_prime_6,Condition_3_prime_7,Condition_3_prime_8,Condition_3_prime_9,Condition_3_prime_10,Condition_4,Condition_4_prime_1,Condition_4_prime_2,Condition_4_prime_3,Condition_4_prime_4,Condition_4_prime_5,Condition_4_prime_6,Condition_4_prime_7,Condition_4_prime_8,Condition_4_prime_9,Condition_4_prime_10,Condition_5,Condition_5_prime_1,Condition_5_prime_2,Condition_5_prime_3,Condition_5_prime_4,Condition_5_prime_5,Condition_5_prime_6,Condition_5_prime_7,Condition_5_prime_8,Condition_5_prime_9,Condition_5_prime_10,Condition_6,Condition_6_prime_1,Condition_6_prime_2,Condition_6_prime_3,Condition_6_prime_4,Condition_6_prime_5,Condition_6_prime_6,Condition_6_prime_7,Condition_6_prime_8,Condition_6_prime_9,Condition_6_prime_10,Condition_7,Condition_7_prime_1,Condition_7_prime_2,Condition_7_prime_3,Condition_7_prime_4,Condition_7_prime_5,Condition_7_prime_6,Condition_7_prime_7,Condition_7_prime_8,Condition_7_prime_9,Condition_7_prime_10,Condition_8,Condition_8_prime_1,Condition_8_prime_2,Condition_8_prime_3,Condition_8_prime_4,Condition_8_prime_5,Condition_8_prime_6,Condition_8_prime_7,Condition_8_prime_8,Condition_8_prime_9,Condition_8_prime_10,Condition_9,Condition_9_prime_1,Condition_9_prime_2,Condition_9_prime_3,Condition_9_prime_4,Condition_9_prime_5,Condition_9_prime_6,Condition_9_prime_7,Condition_9_prime_8,Condition_9_prime_9,Condition_9_prime_10,Condition_10,Condition_10_prime_1,Condition_10_prime_2,Condition_10_prime_3,Condition_10_prime_4,Condition_10_prime_5,Condition_10_prime_6,Condition_10_prime_7,Condition_10_prime_8,Condition_10_prime_9,Condition_10_prime_10
Condition_9_prime_3,0.4409,0.3222,0.468,0.2831,0.3912,0.3637,0.3878,0.5418,0.4,0.4409,0.4409,0.3637,0.2441,0.468,0.2831,0.2846,0.2846,0.3637,0.3238,0.3637,0.4409,0.3637,0.3421,0.3421,0.3421,0.2442,0.3421,0.3402,0.3421,0.3402,0.3421,0.3421,0.3421,0.419,0.3914,0.419,0.2977,0.419,0.419,0.419,0.419,0.419,0.419,0.419,0.3499,0.3499,0.3737,0.2433,0.2846,0.2571,0.3499,0.3087,0.3465,0.2961,0.3499,0.3499,0.2441,0.4543,0.2692,0.2846,0.2846,0.3499,0.3372,0.4,0.3637,0.31,0.4523,0.3217,0.4523,0.3587,0.3897,0.3484,0.4523,0.3845,0.3845,0.4523,0.4523,0.3094,0.3094,0.2818,0.4642,0.2846,0.2436,0.3213,0.4009,0.3226,0.3094,0.2562,0.6634,0.4014,0.4349,1.0,0.6634,0.5677,0.6634,0.6495,0.6634,0.5361,0.5361,0.5685,0.4412,0.3539,0.5547,0.5685,0.5685,0.5685,0.5685,0.4748,0.4551,0.4412
Condition_9_prime_4,0.4956,0.4171,0.4819,0.3244,0.3912,0.405,0.4698,0.5418,0.4819,0.4956,0.4956,0.405,0.2854,0.468,0.3244,0.3123,0.3123,0.405,0.3785,0.405,0.4956,0.405,0.3707,0.3707,0.3707,0.2689,0.3707,0.3871,0.3707,0.3871,0.3707,0.3707,0.3707,0.6209,0.5661,0.6209,0.4874,0.6209,0.5661,0.6209,0.6209,0.6209,0.5661,0.6209,0.3912,0.3912,0.3737,0.271,0.3123,0.2984,0.3912,0.3635,0.4146,0.3509,0.3912,0.3912,0.2854,0.4543,0.3105,0.3123,0.3123,0.3912,0.3372,0.468,0.405,0.3648,0.548,0.3897,0.5755,0.4406,0.4584,0.4309,0.548,0.5069,0.5207,0.548,0.5342,0.337,0.337,0.3231,0.2957,0.3123,0.2575,0.3761,0.4009,0.3774,0.337,0.2975,0.8652,0.6032,0.6246,0.6634,1.0,0.6759,0.8104,0.8513,0.8652,0.6832,0.738,0.7703,0.6431,0.5436,0.7047,0.6767,0.7703,0.7703,0.7703,0.6645,0.6157,0.6431
Condition_9_prime_5,0.4207,0.2972,0.4438,0.2751,0.3786,0.3552,0.3642,0.4831,0.3744,0.4207,0.4207,0.3552,0.2539,0.432,0.2751,0.3,0.3,0.3552,0.2979,0.3552,0.4088,0.3552,0.4936,0.4317,0.4936,0.3892,0.4936,0.5074,0.4936,0.5074,0.4936,0.4936,0.4936,0.5522,0.4121,0.5269,0.3338,0.4985,0.4815,0.5269,0.4923,0.5619,0.5281,0.5248,0.3552,0.3552,0.3518,0.2532,0.3,0.2649,0.3552,0.3086,0.3406,0.2979,0.3552,0.3552,0.2539,0.4202,0.2751,0.3,0.3,0.3552,0.3093,0.3508,0.3552,0.2979,0.4308,0.2846,0.4541,0.3515,0.3658,0.3892,0.4308,0.3619,0.3737,0.4308,0.4073,0.3209,0.3209,0.2858,0.3094,0.3,0.2653,0.3075,0.3866,0.3086,0.3209,0.2641,0.7429,0.4809,0.5699,0.5677,0.6759,1.0,0.6881,0.6767,0.7429,0.657,0.6144,0.6074,0.4657,0.4273,0.5294,0.6074,0.5852,0.6074,0.5962,0.5179,0.4421,0.4879
Condition_9_prime_6,0.4956,0.4032,0.468,0.3244,0.3912,0.405,0.4559,0.5418,0.468,0.4956,0.4956,0.405,0.2854,0.468,0.3244,0.3123,0.3123,0.405,0.3785,0.405,0.4956,0.405,0.4585,0.4273,0.4585,0.3164,0.4585,0.4554,0.4585,0.4554,0.4585,0.4585,0.4585,0.6967,0.5609,0.6967,0.4704,0.67,0.6967,0.6967,0.6423,0.6967,0.6967,0.6967,0.3912,0.3912,0.3737,0.271,0.3123,0.2984,0.3912,0.3635,0.4146,0.3509,0.3912,0.3912,0.2854,0.4543,0.3105,0.3123,0.3123,0.3912,0.3372,0.468,0.405,0.3648,0.5203,0.3897,0.5342,0.4267,0.4445,0.4032,0.5203,0.4656,0.4794,0.5203,0.5203,0.337,0.337,0.3231,0.2957,0.3123,0.2575,0.3761,0.4009,0.3774,0.337,0.2975,0.932,0.6624,0.7068,0.6634,0.8104,0.6881,1.0,0.8633,0.932,0.8239,0.7962,0.8235,0.662,0.5993,0.6634,0.6887,0.7556,0.8235,0.7968,0.7064,0.6346,0.6887
Condition_9_prime_7,0.5141,0.4358,0.4906,0.3455,0.4138,0.4256,0.4803,0.5413,0.4906,0.5141,0.5141,0.4256,0.3125,0.4788,0.3455,0.3471,0.3471,0.4256,0.3913,0.4256,0.5022,0.4256,0.4585,0.4585,0.4585,0.3164,0.4585,0.4554,0.4585,0.4554,0.4585,0.4585,0.4585,0.6693,0.6161,0.6729,0.539,0.6693,0.6035,0.6729,0.6729,0.6729,0.6035,0.6693,0.402,0.402,0.3754,0.2885,0.3352,0.3116,0.402,0.3786,0.4218,0.3561,0.402,0.4138,0.3007,0.4555,0.3337,0.3352,0.3352,0.4138,0.3445,0.467,0.4256,0.3796,0.5584,0.4008,0.5935,0.4438,0.4707,0.4474,0.5584,0.5117,0.5353,0.5584,0.5349,0.3562,0.3562,0.3444,0.3094,0.3352,0.2889,0.3893,0.4102,0.3903,0.368,0.3109,0.9313,0.6617,0.6794,0.6495,0.8513,0.6767,0.8633,1.0,0.9313,0.7285,0.7923,0.8153,0.6894,0.5903,0.7264,0.6894,0.7805,0.8153,0.8153,0.7162,0.6545,0.6894
Condition_9_prime_8,0.4956,0.4171,0.4819,0.3244,0.3912,0.405,0.4698,0.5418,0.4819,0.4956,0.4956,0.405,0.2854,0.468,0.3244,0.3123,0.3123,0.405,0.3785,0.405,0.4956,0.405,0.4585,0.4585,0.4585,0.3411,0.4585,0.4801,0.4585,0.4801,0.4585,0.4585,0.4585,0.738,0.6022,0.738,0.5252,0.738,0.67,0.738,0.7103,0.738,0.67,0.738,0.3912,0.3912,0.3737,0.271,0.3123,0.2984,0.3912,0.3635,0.4146,0.3509,0.3912,0.3912,0.2854,0.4543,0.3105,0.3123,0.3123,0.3912,0.3372,0.468,0.405,0.3648,0.548,0.3897,0.5755,0.4406,0.4584,0.4309,0.548,0.5069,0.5207,0.548,0.5342,0.337,0.337,0.3231,0.2957,0.3123,0.2575,0.3761,0.4009,0.3774,0.337,0.2975,1.0,0.7304,0.7481,0.6634,0.8652,0.7429,0.932,0.9313,1.0,0.7972,0.8375,0.8648,0.73,0.6405,0.7047,0.73,0.8236,0.8648,0.8648,0.7477,0.6891,0.73
Condition_9_prime_9,0.3899,0.4032,0.3622,0.2186,0.2975,0.3114,0.3387,0.4247,0.3622,0.3899,0.3899,0.3114,0.2854,0.3622,0.2186,0.2313,0.2313,0.3114,0.2728,0.3114,0.3899,0.3114,0.5415,0.4558,0.5415,0.3386,0.5177,0.5014,0.5415,0.5199,0.5415,0.5415,0.5415,0.7703,0.5609,0.7429,0.4704,0.67,0.7241,0.7429,0.6885,0.7703,0.8375,0.7429,0.2975,0.2975,0.2566,0.19,0.2313,0.2174,0.2975,0.2699,0.4146,0.3509,0.2975,0.2975,0.2854,0.3486,0.2047,0.2313,0.2313,0.2975,0.3372,0.3622,0.3114,0.3648,0.4146,0.3897,0.4285,0.3096,0.3509,0.3096,0.4146,0.3484,0.3737,0.4146,0.4146,0.2434,0.2434,0.2295,0.2021,0.2313,0.1765,0.3761,0.2951,0.2837,0.2434,0.2975,0.7972,0.7162,0.6832,0.5361,0.6832,0.657,0.8239,0.7285,0.7972,1.0,0.85,0.7013,0.6746,0.5223,0.5361,0.5741,0.6284,0.7013,0.6746,0.6218,0.6895,0.7304
Condition_9_prime_10,0.4127,0.4358,0.3893,0.2442,0.3227,0.3345,0.3694,0.4303,0.3893,0.4127,0.4127,0.3345,0.3125,0.3775,0.2442,0.2667,0.2667,0.3345,0.29,0.3345,0.4009,0.3345,0.5727,0.4871,0.5727,0.4114,0.5489,0.5504,0.5727,0.5689,0.5727,0.5727,0.5727,0.7962,0.6161,0.7921,0.539,0.7103,0.6726,0.7921,0.7695,0.7921,0.7117,0.7962,0.3109,0.3109,0.2644,0.2081,0.2549,0.2313,0.3109,0.2875,0.4218,0.3561,0.3109,0.3227,0.3007,0.3541,0.2324,0.2549,0.2549,0.3227,0.3445,0.3657,0.3345,0.3796,0.457,0.4008,0.4922,0.3329,0.3796,0.3564,0.457,0.4008,0.434,0.457,0.4335,0.2651,0.2651,0.2534,0.2183,0.2549,0.2085,0.3893,0.3089,0.2993,0.2769,0.3109,0.8375,0.7565,0.669,0.5361,0.738,0.6144,0.7962,0.7923,0.8375,0.85,1.0,0.7567,0.7231,0.5713,0.5833,0.6372,0.684,0.7567,0.734,0.6672,0.7354,0.7812
Condition_10,0.472,0.3855,0.4421,0.3169,0.3758,0.406,0.4333,0.4759,0.4421,0.472,0.472,0.3958,0.2887,0.4218,0.3169,0.3385,0.3385,0.3958,0.3565,0.3958,0.4618,0.406,0.4287,0.3669,0.4287,0.2932,0.4287,0.4322,0.4287,0.4322,0.4287,0.4287,0.4287,0.6551,0.5132,0.6372,0.4361,0.6028,0.5395,0.6372,0.6084,0.6372,0.5568,0.6551,0.3654,0.3654,0.3031,0.2678,0.3181,0.2777,0.3654,0.3354,0.3627,0.3161,0.3654,0.3857,0.2785,0.3915,0.3069,0.3284,0.3181,0.3857,0.2863,0.4116,0.3958,0.3363,0.5704,0.4048,0.6107,0.4518,0.4851,0.4651,0.5704,0.5202,0.5507,0.5704,0.5401,0.3463,0.3463,0.316,0.296,0.3284,0.2885,0.3446,0.3625,0.3455,0.3564,0.2771,0.8648,0.6078,0.6652,0.5685,0.7703,0.6074,0.8235,0.8153,0.8648,0.7013,0.7567,1.0,0.8028,0.7462,0.7248,0.8717,0.8819,0.9596,0.8999,0.8947,0.8122,0.7912
Condition_10_prime_1,0.3749,0.3855,0.345,0.2896,0.2876,0.3177,0.328,0.3706,0.345,0.3749,0.3749,0.3075,0.2887,0.3247,0.2896,0.2594,0.2594,0.3075,0.2595,0.3075,0.3648,0.3177,0.3669,0.5555,0.3669,0.2451,0.3669,0.3841,0.3669,0.3841,0.3669,0.3669,0.3669,0.6154,0.5132,0.6036,0.4361,0.6028,0.5099,0.6036,0.5888,0.6036,0.5342,0.6154,0.2771,0.2771,0.1978,0.1887,0.239,0.1986,0.2771,0.2472,0.3627,0.3161,0.2771,0.2975,0.2785,0.2945,0.2795,0.2492,0.239,0.2975,0.2863,0.3146,0.3075,0.3363,0.4734,0.4048,0.5137,0.4256,0.3968,0.3769,0.4734,0.415,0.4536,0.4734,0.443,0.258,0.258,0.2278,0.2077,0.2492,0.2094,0.3446,0.2655,0.2572,0.2682,0.2771,0.73,0.6078,0.4907,0.4412,0.6431,0.4657,0.662,0.6894,0.73,0.6746,0.7231,0.8028,1.0,0.559,0.6121,0.6902,0.7693,0.8028,0.7724,0.6975,0.7427,0.7624
