,sumsquare_error,aic,bic,kl_div,ks_statistic,ks_pvalue
dweibull,55.01969719489808,59.05797779950544,-491.71601939231203,inf,0.04606294715349757,0.5323874165808904
t,57.10842685394372,52.243131510382234,-480.53788905214117,inf,0.03914916597736806,0.7320608277821044
norm,57.108460100992474,50.23857661151798,-486.24149687460897,inf,0.03915358880432407,0.7319346857262302
burr,57.17969484001246,45.85717637414372,-474.4599574835106,inf,0.03213359511292879,0.9060602679347274
lognorm,57.21201874709983,54.26193144051943,-479.9941966917846,inf,0.03955815636609983,0.7203541041352518
