,sumsquare_error,aic,bic,kl_div,ks_statistic,ks_pvalue
dweibull,492.3626201276129,94.8114901285171,101.4561499819879,inf,0.1832248796836779,0.17988027334847223
burr,503.0116708104152,20.116475647898604,105.71003891757178,inf,0.2077468953696146,0.09155706136475028
chi2,519.2882785687657,66.04410496514058,103.26643582278932,inf,0.2961364696162014,0.0038739977474750997
pareto,525.4056993946492,50.352681082836284,103.66462838409326,inf,0.26105142254124397,0.01561595448559805
expon,525.4057000486948,48.35267946227799,100.13826790180161,inf,0.2610514217771713,0.015615954928233533
